Official Full Name,"Official Symbol
","Disease Identifier
","Disease Name
"
actin gamma 1,ACTG1,ORPHA:2995,Baraitser-Winter cerebrofrontofacial syndrome
actin gamma 1,ACTG1,OMIM:614583,Baraitser-Winter syndrome 2
actin gamma 1,ACTG1,OMIM:604717,"Deafness, autosomal dominant 20"
actin like 6B,ACTL6B,OMIM:618470,Intellectual developmental disorder with severe speech and ambulation defects
actin like 6B,ACTL6B,ORPHA:442835,Non-specific early-onset epileptic encephalopathy
actin like 6B,ACTL6B,OMIM:618468,"Epileptic encephalopathy, early infantile, 76"
activator of transcription and developmental regulator AUTS2,AUTS2,ORPHA:352490,Autism spectrum disorder due to AUTS2 deficiency
activator of transcription and developmental regulator AUTS2,AUTS2,OMIM:615834,"Intellectual developmental disorder, autosomal dominant 26"
adenosine deaminase RNA specific B1,ADARB1,OMIM:618862,"Neurodevelopmental disorder with hypotonia, microcephaly, and seizures"
adhesion G protein-coupled receptor V1,ADGRV1,OMIM:604352,"Febrile seizures, familial, 4"
adhesion G protein-coupled receptor V1,ADGRV1,OMIM:605472,"Usher syndrome, type IIC"
adhesion G protein-coupled receptor V1,ADGRV1,ORPHA:231178,Usher syndrome type 2
adhesion G protein-coupled receptor V1,ADGRV1,ORPHA:36387,Genetic epilepsy with febrile seizure plus
ALG13 UDP-N-acetylglucosaminyltransferase subunit,ALG13,OMIM:300884,"Epileptic encephalopathy, early infantile, 36"
ALG13 UDP-N-acetylglucosaminyltransferase subunit,ALG13,ORPHA:324422,ALG13-congenital disorder of glycosylation (ALG13-CDG)
alpha glucosidase,GAA,ORPHA:308552,"Glycogen storage disease due to acid maltase deficiency, infantile onset"
alpha glucosidase,GAA,OMIM:232300,Glycogen storage disease II
ankyrin repeat domain 17,ANKRD17,OMIM:619504,Chopra-Amiel-Gordon syndrome
ankyrin repeat domain containing 11,ANKRD11,ORPHA:261250,16q24.3 microdeletion syndrome
ankyrin repeat domain containing 11,ANKRD11,OMIM: 148050,KBG syndrome
ankyrin repeat domain containing 11,ANKRD11,ORPHA:2332,KBG syndrome
anti-Mullerian hormone,AMH,OMIM:261550,"Persistent mullerian duct syndrome, types I and II"
anti-Mullerian hormone,AMH,ORPHA:2856,Persistent Müllerian duct syndrome
anti-Mullerian hormone receptor type 2,AMHR2,OMIM:261550,"Persistent mullerian duct syndrome, types I and II"
anti-Mullerian hormone receptor type 2,AMHR2,ORPHA:2856,Persistent Müllerian duct syndrome
